50,3421:-59,669:-63,1916:-50,2864:-50,2555:-33,3561:-64,4762:-64,2431:-63,2825:-65,2577:-63
18,2454:-85,4326:-77,4836:-80,4773:-84,1289:-88,2882:-55,3885:-82,4066:-86,151:-87,1984:-86
56,587:-78,564:-65,2304:-83,773:-75,3659:-41,931:-74,1806:-75,4277:-82,4755:-66,5001:-75
56,4277:-83,773:-76,2304:-81,2773:-81,2060:-76,5001:-82,4285:-68,1870:-82,1707:-85,3456:-69
9,4177:-57,4672:-66,1953:-53,1019:-52,3354:-52,2621:-58,1049:-50,1952:-65,2567:-53,331:-49
46,4836:-60,3421:-55,2434:-87,773:-74,733:-73,5036:-66,4326:-81,3079:-67,4773:-87,4878:-57
31,3032:-75,2645:-80,2814:-65,1333:-38,452:-83,615:-73,4837:-36,4425:-46,1609:-36,3614:-69
17,2351:-89,865:-88,1493:-90,4649:-83,4195:-62,2811:-45,4723:-84,1875:-88,1303:-88,3320:-80
17,594:-90,4876:-88,509:-102,1421:-57,3070:-93,4425:-86,2645:-64,460:-63,2811:-44,3304:-92
49,1361:-86,4937:-71,460:-89,4118:-83,4723:-84,2693:-87,4857:-71,2760:-76,2645:-86,1193:-86
41,1685:-76,1206:-76,4916:-74,4149:-75,267:-76,1495:-81,2920:-34,818:-78,78:-60,1594:-35
28,4060:-69,4689:-39,3931:-66,3820:-71,2165:-47,856:-87,2547:-69,1930:-37,3385:-86,1736:-61
4,3437:-92,867:-75,2426:-73,1089:-70,564:-86,2223:-87,2068:-28,931:-92,3034:-82,732:-65
17,2814:-72,3742:-79,2453:-93,3070:-90,1346:-90,3495:-85,759:-82,3355:-83,4287:-86,1097:-90
16,3050:-86,1380:-88,3003:-83,160:-88,1980:-84,4823:-85,3770:-82,1060:-86,3212:-87,2901:-82
2,4195:-71,1220:-71,2645:-79,2944:-82,3261:-71,362:-69,908:-74,4649:-81,656:-71,792:-70
13,5002:-74,2119:-88,1529:-64,2267:-66,394:-92,2124:-88,3927:-60,2616:-66,4736:-75,1135:-72
