54062 0:-999 436:-73 1091:-61 1095:-90 1113:-88 1304:-81 2922:-999
33740 0:-999 80:-47 815:-73 1236:-59 1804:-66 2086:-89 2296:-59 2682:-47 2849:-46 2850:-66 2922:-999
54188 0:-999 475:-72 1056:-77 1219:-45 1582:-48 2083:-40 2405:-51 2482:-30 2537:-48 2797:-40 2922:-999
219761 0:-999 201:-57 211:-54 318:-63 448:-65 482:-68 815:-74 867:-82 2117:-56 2421:-45 2768:-73 2922:-999
118985 0:-999 25:-45 214:-80 463:-81 501:-83 522:-80 1353:-45 1499:-80 2403:-80 2686:-82 2719:-82 2922:-999
54315 0:-999 94:-70 127:-79 144:-76 244:-77 520:-82 831:-80 1107:-77 1783:-76 1966:-77 2020:-78 2922:-999
54339 0:-999 40:-79 201:-64 211:-66 318:-66 448:-64 815:-82 2117:-57 2296:-78 2421:-52 2774:-70 2922:-999
220094 0:-999 195:-66 910:-76 1046:-71 1562:-72 1605:-44 1617:-51 1621:-58 2343:-45 2739:-43 2856:-79 2922:-999
54584 0:-999 155:-92 165:-80 1203:-75 1304:-84 1312:-67 1406:-77 1641:-43 1752:-41 2033:-92 2269:-91 2922:-999
34203 0:-999 314:-28 316:-69 425:-73 440:-63 496:-67 620:-74 777:-33 792:-67 1441:-63 2720:-68 2922:-999
220259 0:-999 138:-56 539:-60 578:-53 677:-50 955:-50 1029:-51 1578:-53 1602:-57 1834:-51 1877:-51 2922:-999
54712 0:-999 81:-69 210:-69 694:-82 827:-83 1218:-77 1492:-73 1655:-77 2598:-81 2748:-76 2922:-999
119466 0:-999 12:-42 199:-60 424:-43 661:-59 1178:-42 1270:-43 1367:-81 1790:-73 1883:-26 2290:-78 2922:-999
34465 0:-999 265:-85 314:-84 448:-79 714:-79 746:-85 1219:-69 1564:-81 2098:-76 2458:-74 2527:-80 2922:-999
34466 0:-999 265:-67 909:-61 1219:-49 1392:-48 1564:-64 1582:-58 2327:-55 2405:-52 2482:-42 2797:-61 2922:-999
34530 0:-999 147:-75 433:-75 879:-69 1458:-70 1623:-75 2114:-75 2361:-66 2396:-70 2451:-64 2663:-71 2922:-999
34531 0:-999 46:-81 81:-67 661:-73 879:-66 1218:-64 1291:-42 1712:-65 2051:-59 2598:-67 2914:-52 2922:-999
34682 0:-999 232:-61 1193:-92 1232:-81 1492:-72 1619:-41 1900:-41 2112:-48 2598:-88 2748:-48 2922:-999
55127 0:-999 265:-51 777:-72 1219:-50 1392:-49 1564:-57 1582:-58 2327:-42 2405:-67 2482:-43 2797:-50 2922:-999
34772 0:-999 316:-52 536:-74 685:-63 1258:-75 1287:-71 1631:-49 2103:-49 2458:-78 2620:-75 2720:-53 2922:-999
119878 0:-999 55:-85 508:-79 520:-80 779:-79 836:-83 1336:-87 1525:-80 2084:-86 2657:-83 2867:-84 2922:-999
119985 0:-999 74:-78 387:-61 411:-75 599:-73 1045:-88 1222:-61 1879:-78 2245:-73 2285:-77 2593:-76 2922:-999
55512 0:-999 314:-69 771:-33 792:-69 794:-60 1743:-25 1929:-76 2103:-69 2394:-81 2720:-76 2789:-68 2922:-999
221163 0:-999 448:-73 453:-78 890:-73 1300:-73 1668:-73 1995:-77 2098:-81 2187:-72 2421:-50 2527:-80 2922:-999
35197 0:-999 348:-83 391:-84 706:-87 1236:-81 1327:-77 1898:-77 1945:-87 2183:-78 2268:-77 2768:-77 2922:-999
55706 0:-999 92:-84 178:-76 476:-87 1349:-84 2183:-82 2268:-66 2781:-77 2833:-80 2922:-999
35332 0:-999 201:-61 211:-51 448:-67 482:-64 601:-72 1173:-68 2296:-68 2421:-54 2546:-75 2849:-75 2922:-999
221320 0:-999 81:-78 502:-46 1218:-47 1232:-51 1535:-49 2051:-73 2114:-77 2359:-53 2399:-68 2598:-53 2922:-999
55774 0:-999 19:-52 80:-51 1236:-72 1804:-74 1849:-77 2117:-77 2296:-67 2682:-51 2849:-52 2922:-52
120560 0:-999 389:-72 608:-64 840:-51 1603:-56 1931:-60 1960:-38 2310:-62 2409:-54 2647:-68 2743:-60 2922:-999
35519 0:-999 19:-51 80:-61 1236:-69 1804:-73 1849:-76 2296:-73 2682:-60 2849:-46 2850:-72 2922:-50
56143 0:-999 71:-82 92:-80 448:-76 468:-87 476:-84 1300:-75 1327:-83 1898:-74 2183:-82 2541:-77 2922:-999
56144 0:-999 581:-49 617:-75 804:-84 1371:-83 1393:-76 1688:-90 1748:-85 2400:-62 2609:-85 2654:-49 2922:-999
120856 0:-999 32:-73 80:-44 448:-72 815:-77 2268:-78 2296:-67 2682:-44 2849:-47 2922:-49
56198 0:-47 799:-42 826:-54 980:-44 1839:-46 1953:-57 2013:-44 2531:-64 2776:-86 2789:-42 2922:-999
56206 0:-999 466:-57 906:-70 1106:-77 1492:-78 1535:-70 1628:-73 1699:-57 1771:-44 1993:-64 2137:-79 2922:-999
56262 0:-999 205:-54 790:-64 974:-61 1249:-56 1274:-51 1359:-52 1942:-50 2418:-76 2533:-60 2661:-52 2922:-999
221913 0:-999 183:-84 581:-45 617:-57 1371:-70 1393:-57 1688:-84 1748:-85 2400:-54 2609:-86 2654:-46 2922:-999
221914 0:-999 183:-87 373:-85 581:-48 617:-66 1371:-72 1393:-65 1748:-82 2400:-65 2654:-47 2680:-90 2922:-999
35991 0:-999 25:-52 214:-73 522:-73 1122:-79 1471:-65 1499:-73 2403:-73 2460:-63 2515:-68 2576:-80 2922:-999
36023 0:-999 101:-80 281:-48 643:-80 740:-74 864:-34 1371:-70 1826:-75 1924:-76 2102:-77 2398:-80 2922:-999
36031 0:-999 104:-39 304:-47 369:-64 1090:-53 1303:-67 1598:-60 1718:-60 2326:-72 2667:-63 2730:-51 2922:-999
121162 0:-999 90:-73 219:-68 288:-85 606:-67 684:-63 825:-54 1802:-71 2007:-49 2278:-63 2394:-75 2922:-999
56941 0:-999 104:-78 446:-66 958:-64 1046:-60 1620:-71 2189:-38 2312:-66 2530:-50 2555:-64 2806:-67 2922:-999
222519 0:-999 104:-67 116:-60 304:-53 369:-44 1303:-59 1598:-29 1718:-29 1742:-52 2667:-51 2730:-66 2922:-999
