219584 0:-999 857:-63 2654:-73 3161:-80 3205:-64 3531:-69 3851:-75 3874:-55 3955:-70 4288:-69 5216:-999
33631 0:-999 42:-72 230:-73 1341:-62 1528:-72 1907:-47 2354:-72 3329:-61 4873:-71 5095:-75 5216:-999
33745 0:-999 751:-74 1697:-61 1907:-59 2326:-81 3053:-30 3129:-39 3706:-73 3877:-60 3954:-77 5003:-68 5216:-999
219763 0:-999 23:-43 232:-41 828:-94 1137:-85 1323:-70 1364:-66 1629:-61 2490:-75 3020:-86 5167:-77 5216:-999
118901 0:-999 197:-62 727:-79 2750:-70 2765:-70 3036:-72 3896:-60 4207:-68 4279:-60 4318:-70 4739:-67 5216:-999
118902 0:-999 197:-62 727:-79 2750:-70 2765:-70 3036:-72 3896:-60 4207:-68 4279:-60 4318:-70 4739:-67 5216:-999
219846 0:-999 299:-60 310:-54 334:-81 669:-73 1195:-64 1770:-73 3500:-65 4325:-55 4699:-67 5216:-999
219852 0:-999 325:-81 828:-91 1285:-88 1528:-71 1737:-89 1907:-76 3469:-66 3910:-65 4430:-82 4483:-36 5216:-999
33909 0:-999 158:-69 463:-72 1249:-41 3406:-23 3482:-47 3528:-69 4465:-68 4573:-57 5078:-59 5084:-58 5216:-999
54350 0:-999 154:-85 885:-66 1161:-83 1391:-79 1748:-69 2504:-71 2695:-66 2993:-66 3903:-80 3905:-72 5216:-999
119053 0:-999 292:-54 449:-67 489:-81 1147:-53 1372:-65 1380:-62 1614:-67 4687:-51 4980:-57 5216:-999
219928 0:-999 144:-76 669:-64 958:-86 1046:-82 1176:-90 3309:-82 3500:-64 3924:-76 4339:-82 4849:-80 5216:-999
54426 0:-999 1730:-81 1892:-79 1907:-54 2326:-78 2479:-77 3129:-42 3329:-80 3692:-78 3993:-82 4286:-83 5216:-999
54427 0:-999 206:-75 579:-84 1586:-71 1907:-65 2479:-77 2779:-90 3053:-41 3129:-45 3706:-83 4286:-85 5216:-999
54428 0:-999 206:-72 1648:-79 1730:-78 1907:-69 2820:-76 3053:-39 3129:-52 3329:-81 3706:-81 5097:-89 5216:-999
54478 0:-999 144:-80 310:-71 334:-77 669:-76 1793:-65 2241:-90 2941:-65 3309:-87 4699:-82 5216:-999
34120 0:-999 103:-74 1007:-63 1697:-59 2451:-66 2479:-26 3692:-26 3706:-70 3993:-65 5097:-73 5216:-999
54561 0:-999 230:-81 325:-87 889:-74 1144:-88 1528:-81 1907:-77 3910:-79 4483:-45 4695:-78 4870:-74 5216:-999
119273 0:-999 240:-86 3168:-51 3750:-49 5216:-999
220163 0:-999 103:-73 206:-65 520:-55 1697:-57 1892:-54 2225:-55 2326:-69 2479:-73 3692:-69 3993:-79 5216:-999
34281 0:-999 230:-86 232:-61 828:-82 1137:-79 1364:-66 1528:-84 2490:-80 3020:-79 4071:-76 4695:-83 5216:-999
220249 0:-999 488:-79 912:-82 991:-56 1069:-80 1258:-57 1462:-72 1670:-56 1851:-80 4399:-53 4871:-82 5216:-999
220250 0:-999 446:-71 1009:-73 1022:-72 1549:-79 1997:-78 2463:-66 2970:-73 3517:-73 4611:-76 5216:-999
54677 0:-999 59:-75 142:-82 1539:-40 1808:-86 1934:-73 2630:-64 4397:-77 4492:-46 4990:-74 5081:-67 5216:-999
54704 0:-999 7:-74 58:-47 721:-65 840:-58 1895:-69 1923:-40 2423:-74 3244:-63 3723:-57 5146:-75 5216:-999
220312 0:-999 23:-37 230:-73 232:-41 828:-91 1137:-88 1364:-67 2490:-79 3020:-88 4071:-64 5167:-84 5216:-999
220313 0:-999 23:-38 232:-37 828:-88 1137:-81 2490:-67 2896:-83 3020:-81 4071:-59 4546:-73 5167:-77 5216:-999
34348 0:-999 23:-45 232:-39 828:-89 1137:-78 1364:-65 2490:-80 2820:-90 3020:-79 4071:-72 4546:-78 5216:-999
220314 0:-999 230:-73 232:-32 828:-93 1364:-67 1528:-74 2504:-84 2820:-92 3020:-73 4071:-69 4546:-75 5216:-999
34349 0:-999 23:-45 232:-39 828:-89 1137:-78 1364:-65 2490:-80 2820:-90 3020:-79 4071:-72 4546:-78 5216:-999
34350 0:-999 23:-37 232:-36 828:-87 1137:-83 1364:-58 2820:-87 3529:-83 4071:-70 4430:-92 4546:-79 5216:-999
220315 0:-999 727:-71 1253:-68 2504:-60 2765:-78 3036:-66 3475:-56 3896:-50 4160:-77 4275:-63 4337:-56 5216:-999
34351 0:-999 60:-85 232:-51 392:-84 828:-89 1137:-86 1364:-70 3677:-84 3711:-86 3910:-85 4071:-76 5216:-999
34352 0:-999 23:-58 232:-60 392:-87 828:-89 1364:-66 1629:-55 3020:-85 4071:-69 5216:-999
34353 0:-999 23:-56 232:-61 1364:-74 1528:-83 1907:-85 2490:-83 3711:-89 4071:-81 5167:-84 5216:-999
34361 0:-999 23:-34 232:-35 312:-80 1137:-79 1364:-60 1907:-73 2490:-72 4071:-75 4546:-76 5167:-74 5216:-999
119569 0:-999 144:-68 1176:-73 1223:-81 2296:-82 2335:-67 2856:-70 2863:-74 3205:-74 3997:-74 4364:-65 5216:-999
220499 0:-999 446:-78 1009:-76 1549:-88 1997:-87 2213:-84 2463:-78 3198:-80 3339:-75 3991:-81 4110:-71 5216:-999
34583 0:-999 831:-67 875:-73 1409:-66 1760:-54 2018:-62 2124:-39 3429:-62 3533:-67 4490:-53 4733:-39 5216:-999
220638 0:-999 750:-92 831:-63 1789:-64 2018:-61 2282:-81 2335:-86 3533:-62 3863:-85 3988:-81 5216:-999
55182 0:-999 23:-86 828:-94 1364:-70 1705:-54 2858:-73 3020:-85 3833:-89 4071:-80 4695:-93 5167:-81 5216:-999
55183 0:-999 23:-45 232:-45 1364:-75 1528:-83 2436:-89 2490:-78 2858:-74 3020:-83 4071:-74 4546:-82 5216:-999
119894 0:-999 520:-40 579:-70 611:-56 1892:-33 2225:-38 2779:-81 4234:-70 5216:-999
119903 0:-999 433:-64 1009:-41 1508:-65 1823:-83 1968:-69 1997:-70 3071:-72 4154:-73 4854:-83 4976:-51 5216:-999
220777 0:-999 690:-70 879:-70 989:-48 1813:-51 2250:-86 2251:-87 3303:-57 3881:-52 3952:-86 5216:-999
220778 0:-999 690:-72 879:-72 989:-49 1813:-47 2250:-86 2251:-87 3303:-48 3881:-48 3952:-86 5216:-999
119927 0:-999 127:-42 1256:-62 1445:-31 1665:-32 1984:-76 2463:-76 3124:-68 3210:-72 4605:-65 5216:-999
34835 0:-999 1249:-52 2261:-66 3406:-24 3482:-51 3776:-75 3979:-64 4344:-76 4573:-69 5078:-57 5154:-79 5216:-999
34844 0:-999 514:-62 1104:-68 1177:-71 1605:-80 2662:-74 3376:-61 3504:-61 3588:-78 4070:-80 4629:-86 5216:-999
34862 0:-999 359:-36 1425:-36 3105:-47 3993:-55 4158:-65 4598:-46 4602:-62 4720:-68 4842:-41 5183:-44 5216:-999
220852 0:-999 240:-34 696:-84 1606:-59 2075:-84 5216:-999
55320 0:-999 103:-78 359:-87 409:-88 1007:-87 1648:-72 2451:-83 2479:-38 2779:-87 3692:-38 5216:-999
55330 0:-999 154:-70 198:-63 1161:-72 1726:-72 2504:-61 2695:-65 2993:-49 3152:-55 3224:-67 4298:-61 5216:-999
34947 0:-999 1249:-40 1578:-74 3169:-73 3290:-78 3406:-27 3914:-68 4465:-76 5078:-54 5084:-53 5154:-73 5216:-999
220972 0:-999 449:-66 805:-74 946:-58 1147:-57 3161:-75 4687:-40 4980:-65 5216:-999
35016 0:-999 359:-67 1175:-70 1425:-66 2977:-62 3105:-85 3774:-68 3993:-67 4158:-80 5020:-74 5183:-64 5216:-999
35057 0:-999 433:-79 1009:-81 1549:-84 1968:-86 1997:-78 2463:-72 3000:-68 3198:-73 3339:-73 3517:-69 5216:-999
35058 0:-999 162:-79 208:-49 292:-73 1147:-69 1372:-52 2043:-69 2239:-81 3691:-86 3874:-83 4980:-39 5216:-999
35059 0:-999 162:-88 208:-59 396:-85 449:-48 1147:-72 1372:-51 1973:-48 2043:-72 2239:-81 4980:-44 5216:-999
35060 0:-999 168:-93 449:-46 489:-90 682:-92 1372:-47 1380:-66 1614:-53 2239:-80 4980:-40 5216:-999
35061 0:-999 208:-72 292:-81 449:-47 1372:-42 1614:-60 1973:-45 2043:-65 2335:-83 4980:-43 5216:-999
35062 0:-999 144:-72 249:-68 1522:-82 2617:-77 2768:-75 3148:-76 3929:-91 3985:-89 4414:-73 4504:-77 5216:-999
221097 0:-999 828:-84 1341:-49 1528:-75 1907:-47 2028:-69 2820:-55 3329:-59 3910:-65 4430:-84 5216:-999
221098 0:-999 42:-52 230:-76 325:-88 889:-81 1528:-73 1907:-70 2172:-71 4430:-72 4695:-70 5095:-65 5216:-999
221099 0:-999 42:-64 230:-63 828:-83 1528:-77 1907:-78 3469:-63 3910:-77 4430:-76 4695:-70 5095:-74 5216:-999
35141 0:-999 304:-80 2381:-42 2914:-64 3120:-49 3163:-81 3174:-79 4248:-84 4825:-78 4911:-77 5216:-999
120268 0:-999 206:-67 359:-70 1175:-80 1425:-72 2876:-77 3692:-33 3774:-80 3993:-57 4598:-84 5183:-74 5216:-999
55585 0:-999 106:-81 127:-51 293:-84 1665:-40 1988:-83 2463:-81 2792:-81 3374:-87 5206:-68 5216:-999
221165 0:-999 42:-65 325:-81 889:-66 1341:-78 3469:-67 4483:-39 4695:-82 5095:-70 5216:-999
35220 0:-999 433:-80 1009:-47 1508:-69 1968:-83 1997:-76 3071:-69 3610:-88 4976:-49 5216:-999
35221 0:-999 433:-84 1009:-55 1508:-81 1968:-85 1997:-85 3071:-82 4976:-57 5216:-999
35222 0:-999 433:-81 1009:-52 1508:-65 1823:-81 1968:-79 1997:-82 3071:-77 4154:-87 4854:-81 4976:-51 5216:-999
120333 0:-999 374:-81 989:-63 1813:-50 3279:-82 3303:-54 3351:-75 3362:-78 3881:-50 4238:-81 4252:-83 5216:-999
55775 0:-999 310:-65 669:-66 958:-79 1195:-62 3500:-64 3533:-80 3924:-79 4029:-90 4339:-84 4699:-71 5216:-999
55806 0:-999 156:-42 1031:-46 2083:-50 2447:-47 2868:-41 3395:-64 3400:-84 4006:-35 4173:-43 5216:-999
120546 0:-999 103:-69 579:-86 1080:-75 1792:-64 2451:-63 3692:-66 3706:-70 3993:-58 5097:-64 5216:-999
35477 0:-999 28:-76 240:-34 696:-75 1606:-52 2011:-74 2075:-73 2802:-72 3276:-78 5216:-999
120601 0:-999 325:-89 889:-77 892:-68 1144:-64 1285:-46 1528:-88 2410:-92 3469:-42 4870:-54 5216:-999
120602 0:-999 325:-87 889:-80 1285:-48 2172:-88 2410:-90 3469:-35 3910:-85 4870:-54 5167:-92 5216:-999
120603 0:-999 299:-69 1760:-59 1789:-58 2307:-91 2940:-65 2941:-68 3596:-84 4470:-70 4557:-47 4628:-57 5216:-999
120604 0:-999 446:-70 1009:-76 1022:-79 1968:-84 1997:-82 3198:-70 3339:-70 4154:-90 4611:-82 4976:-90 5216:-999
55905 0:-999 42:-65 230:-80 325:-84 889:-61 1528:-78 1907:-80 2172:-83 3469:-69 3910:-82 4483:-35 5216:-999
120605 0:-999 230:-77 325:-89 889:-64 1907:-64 2410:-84 4483:-67 4695:-81 4870:-79 5216:-999
120615 0:-999 230:-64 392:-32 653:-70 872:-77 1137:-70 1528:-64 2858:-74 3020:-70 3248:-60 5167:-71 5216:-999
35562 0:-999 479:-72 1076:-73 1675:-52 1790:-79 2018:-70 2124:-53 3397:-66 3596:-51 3946:-59 4490:-62 5216:-999
221553 0:-999 240:-37 696:-69 1606:-59 1864:-89 2075:-70 3136:-79 3168:-82 4953:-88 5216:-999
120717 0:-999 304:-72 843:-31 1427:-31 2381:-42 2914:-63 2995:-80 3120:-48 4397:-83 4911:-84 5216:-999
56022 0:-999 520:-41 579:-68 611:-51 751:-73 1730:-73 1892:-41 2225:-32 2479:-75 3692:-76 5097:-78 5216:-999
221658 0:-999 103:-66 206:-66 520:-30 611:-54 1892:-29 2225:-20 2479:-63 2583:-74 2876:-80 3692:-72 5216:-999
221659 0:-999 1080:-80 1648:-73 1697:-60 1892:-81 2172:-73 2326:-77 2451:-71 3692:-29 3706:-78 5097:-81 5216:-999
35703 0:-999 23:-61 232:-54 392:-91 1137:-83 1364:-74 1907:-90 2490:-90 4071:-78 4546:-88 5167:-82 5216:-999
120884 0:-999 42:-60 230:-75 889:-65 1341:-77 1907:-73 3469:-76 3910:-74 4483:-30 4695:-82 4870:-73 5216:-999
35806 0:-999 42:-68 325:-86 889:-65 1285:-87 3329:-90 3469:-70 4430:-85 4483:-34 4870:-77 5095:-79 5216:-999
35832 0:-999 46:-63 721:-63 1120:-73 1895:-65 3244:-63 3511:-57 3723:-57 4459:-40 4795:-73 5146:-65 5216:-999
35833 0:-999 721:-54 2423:-75 3033:-59 3453:-76 3511:-68 3723:-53 3871:-70 4459:-44 4883:-53 5146:-63 5216:-999
35834 0:-999 46:-72 101:-73 721:-55 1532:-76 1723:-69 1895:-70 3511:-59 4083:-71 4446:-83 4928:-76 5216:-999
120941 0:-999 144:-82 310:-64 334:-79 669:-73 1589:-85 2940:-73 3309:-89 3924:-68 4557:-65 4849:-80 5216:-999
221814 0:-999 520:-73 1007:-66 1348:-85 1648:-72 1892:-69 1967:-64 2172:-79 3706:-71 4405:-53 5216:-999
35940 0:-999 103:-45 206:-70 471:-64 774:-70 1080:-47 1184:-74 1697:-34 1892:-77 2326:-77 3692:-72 5216:-999
56338 0:-999 103:-57 206:-79 471:-81 774:-76 1080:-53 1184:-84 1697:-37 2479:-90 2876:-85 3692:-87 5216:-999
221927 0:-999 232:-33 1253:-77 1364:-66 1907:-77 2490:-64 3645:-28 3711:-84 4071:-66 4546:-73 5167:-76 5216:-999
221928 0:-999 23:-35 230:-85 232:-39 312:-86 392:-88 1364:-64 1705:-77 2490:-79 2858:-76 3645:-27 5216:-999
56362 0:-999 127:-64 867:-48 1256:-75 1445:-48 1665:-48 1984:-85 3210:-72 4569:-73 5188:-48 5206:-77 5216:-999
56363 0:-999 103:-79 359:-75 1007:-76 1425:-78 1819:-73 2479:-30 3692:-30 3706:-68 3993:-69 4158:-73 5216:-999
221938 0:-999 158:-75 1249:-38 3406:-24 3979:-60 4573:-52 5078:-51 5084:-49 5154:-65 5216:-999
221947 0:-999 156:-48 1031:-52 2083:-54 2365:-86 2447:-54 2868:-45 4006:-44 4173:-55 5216:-999
56376 0:-999 867:-55 1256:-73 1445:-41 1665:-41 1984:-85 3124:-71 4110:-73 4605:-80 5188:-55 5206:-66 5216:-999
221956 0:-999 23:-45 232:-38 1137:-86 1364:-66 2490:-79 3020:-86 4071:-73 4546:-80 5167:-88 5216:-999
221957 0:-999 23:-43 230:-76 232:-36 828:-83 1137:-87 1364:-61 3020:-87 3833:-79 4546:-81 5167:-75 5216:-999
