118777 0:-999 24:-50 434:-54 512:-53 553:-50 672:-58 691:-28 695:-50 938:-51 1291:-59 1715:-51 2042:-999
118811 0:-999 193:-59 301:-56 547:-66 726:-66 827:-78 1133:-74 1226:-75 1465:-67 1601:-74 2004:-85 2042:-999
219682 0:-999 263:-57 456:-81 459:-70 699:-82 1133:-82 1182:-84 1408:-73 1659:-82 1805:-82 2042:-999
54147 0:-999 100:-63 835:-61 845:-53 909:-52 1223:-48 1463:-67 1474:-69 1560:-53 1850:-60 2042:-999
54148 0:-999 70:-56 252:-58 530:-57 672:-69 700:-49 1097:-52 1277:-76 1320:-59 1404:-28 1715:-62 2042:-999
118871 0:-999 268:-71 554:-73 685:-78 797:-78 1034:-78 1125:-76 1404:-77 1703:-82 1779:-64 1875:-72 2042:-999
33763 0:-999 194:-77 804:-83 849:-76 864:-77 1305:-55 1491:-84 1735:-84 1736:-79 1939:-93 1941:-59 2042:-999
118884 0:-999 70:-53 118:-51 405:-49 520:-85 614:-56 643:-77 700:-47 1097:-57 1182:-54 1404:-29 2042:-999
118941 0:-999 227:-52 299:-71 649:-56 710:-62 883:-72 1450:-72 1463:-71 1690:-77 1722:-77 1723:-74 2042:-999
54266 0:-999 499:-72 545:-72 720:-43 740:-58 1154:-77 1284:-68 1800:-89 1872:-86 1924:-45 2042:-999
54306 0:-999 12:-75 68:-82 110:-56 384:-58 511:-59 563:-65 584:-73 1098:-59 1705:-58 1992:-75 2042:-999
54307 0:-999 12:-72 68:-72 110:-53 384:-53 511:-56 773:-72 1098:-56 1705:-48 1992:-73 2023:-76 2042:-999
219877 0:-999 187:-67 268:-65 405:-84 554:-70 797:-81 1125:-74 1703:-61 1779:-62 1875:-71 1924:-79 2042:-999
54320 0:-999 140:-88 215:-73 496:-59 659:-52 756:-73 840:-50 1583:-41 1645:-39 1792:-86 1863:-71 2042:-999
119080 0:-999 838:-78 1181:-84 1411:-76 1422:-64 1463:-69 1560:-46 1697:-85 1728:-92 2042:-999
119106 0:-999 768:-32 931:-80 956:-92 1034:-36 1066:-75 1091:-90 1182:-87 1328:-79 1727:-83 2042:-999
119107 0:-999 458:-90 768:-35 980:-89 1034:-40 1066:-78 1091:-75 1328:-75 1404:-77 1716:-91 1727:-90 2042:-999
119124 0:-999 434:-48 520:-75 553:-81 643:-78 691:-40 695:-63 938:-52 980:-83 1182:-87 1715:-76 2042:-999
34116 0:-999 165:-52 434:-51 512:-56 520:-29 691:-36 738:-65 1182:-82 1295:-62 1320:-62 1405:-75 2042:-999
119319 0:-999 187:-73 268:-61 405:-78 554:-77 685:-74 797:-76 1125:-71 1628:-85 1779:-63 1875:-74 2042:-999
119461 0:-999 212:-74 227:-63 649:-75 1384:-70 1450:-48 1463:-51 1565:-73 1722:-80 1922:-70 2042:-999
119462 0:-999 227:-59 649:-78 825:-75 1032:-73 1181:-66 1450:-52 1463:-58 1508:-77 1722:-77 2042:-999
54849 0:-999 196:-89 208:-86 953:-85 1013:-87 1153:-58 1257:-63 1401:-47 1952:-90 1991:-63 2019:-63 2042:-999
119620 0:-999 100:-31 212:-80 299:-58 649:-87 825:-66 883:-58 1181:-67 1384:-84 1411:-75 1463:-57 2042:-999
119621 0:-999 23:-73 213:-80 383:-72 628:-33 802:-82 835:-79 1074:-93 1502:-80 1507:-81 1557:-34 2042:-999
119693 0:-999 193:-72 388:-67 520:-68 647:-74 702:-63 1182:-86 1230:-74 1405:-66 1489:-80 1918:-50 2042:-999
34618 0:-999 227:-73 299:-68 649:-84 825:-64 883:-71 909:-74 1422:-68 1450:-71 1463:-61 1560:-73 2042:-999
220608 0:-999 520:-56 530:-65 553:-59 643:-63 691:-48 938:-50 1182:-67 1291:-58 1715:-51 2042:-999
55144 0:-999 194:-63 249:-76 804:-73 864:-73 1046:-74 1305:-38 1330:-80 1569:-70 1941:-38 1960:-79 2042:-999
55163 0:-999 194:-72 804:-86 849:-77 1046:-92 1137:-95 1305:-57 1569:-84 1933:-87 1941:-58 2042:-999
220801 0:-999 187:-78 268:-75 405:-83 554:-85 685:-87 797:-85 1125:-87 1703:-86 1779:-68 1924:-89 2042:-999
55242 0:-999 24:-62 434:-58 512:-54 520:-33 553:-58 643:-57 672:-60 691:-34 695:-63 1291:-72 2042:-999
55243 0:-999 67:-74 388:-53 520:-75 695:-69 702:-64 938:-81 1112:-82 1182:-87 1405:-58 1540:-74 2042:-999
220825 0:-999 228:-80 344:-59 753:-75 1257:-64 1365:-77 1401:-49 1488:-84 2033:-51 2042:-999
220826 0:-999 114:-86 228:-73 344:-59 501:-48 518:-46 753:-77 1153:-48 1257:-59 1365:-77 1401:-43 2042:-999
119956 0:-999 70:-31 434:-43 530:-40 553:-47 672:-46 700:-18 738:-61 1097:-42 1291:-38 1404:-49 2042:-999
120047 0:-999 434:-46 512:-49 520:-42 553:-56 643:-60 672:-51 691:-38 1277:-50 1295:-50 1918:-59 2042:-999
120172 0:-999 405:-68 469:-85 931:-70 1034:-25 1066:-80 1404:-65 1716:-89 1727:-82 2042:-999
