219595 0:-999 384:-81 878:-64 1397:-60 1489:-44 1503:-66 1553:-65 1823:-72 2298:-60 2472:-58 3249:-999
33683 0:-999 384:-70 567:-69 845:-43 1397:-58 1489:-47 1553:-72 2298:-58 2434:-63 2472:-63 3082:-70 3249:-999
118937 0:-999 64:-75 583:-68 858:-66 1754:-67 1763:-60 1807:-60 2816:-74 2825:-64 3044:-59 3078:-76 3249:-999
118938 0:-999 187:-84 384:-84 856:-33 1553:-55 1639:-65 2459:-62 2874:-33 2879:-65 3137:-60 3249:-999
219926 0:-999 710:-77 1095:-72 1346:-71 1429:-76 1706:-51 1930:-76 2014:-76 2197:-77 2334:-76 2930:-60 3249:-999
219927 0:-999 710:-80 1095:-70 1346:-71 1429:-76 1706:-55 1930:-76 2014:-79 2197:-81 2334:-79 2930:-56 3249:-999
119081 0:-999 633:-74 772:-48 800:-46 1070:-77 1231:-88 1544:-52 2138:-49 2453:-48 2684:-55 3249:-999
119082 0:-999 362:-83 633:-73 772:-46 800:-44 1130:-47 1544:-51 1901:-82 2138:-60 2453:-46 2684:-56 3249:-999
220025 0:-999 384:-82 664:-44 1128:-76 1454:-65 1595:-72 2096:-70 2644:-61 2991:-45 2996:-71 3249:-999
220026 0:-999 384:-82 664:-47 1128:-80 1454:-61 2083:-59 2096:-66 2241:-73 2644:-61 2991:-44 3249:-999
54474 0:-999 3:-39 573:-67 760:-80 827:-87 1043:-88 1239:-83 1354:-56 1479:-65 2312:-85 2930:-80 3249:-999
119219 0:-999 782:-73 950:-83 1141:-73 1205:-69 1477:-69 1928:-84 1971:-60 2159:-75 2710:-38 2904:-89 3249:-999
119220 0:-999 782:-56 950:-88 1141:-66 1205:-59 1971:-54 2067:-62 2295:-65 2710:-66 2716:-78 2921:-73 3249:-999
54566 0:-999 349:-84 426:-66 1376:-67 1525:-85 1892:-69 2180:-69 2231:-90 2420:-92 2734:-35 3249:-999
220232 0:-999 384:-88 856:-56 1360:-69 1553:-61 2042:-60 2260:-75 2383:-61 2814:-65 2874:-62 2879:-45 3249:-999
119442 0:-999 361:-82 384:-82 954:-71 1553:-60 2260:-76 2383:-56 2874:-59 2879:-43 2953:-67 3196:-68 3249:-999
34364 0:-999 591:-74 858:-58 950:-75 1867:-79 1928:-75 1946:-74 2374:-58 2619:-58 2716:-73 2816:-56 3249:-999
54773 0:-999 288:-83 323:-56 630:-49 739:-51 884:-60 1070:-84 1398:-49 1561:-56 2213:-86 2939:-49 3249:-999
34403 0:-999 782:-56 1000:-59 1205:-54 1703:-58 1971:-47 1989:-37 2067:-51 2670:-65 2710:-63 2739:-65 3249:-999
34479 0:-999 454:-83 856:-61 1360:-70 1465:-74 1857:-72 2042:-55 2241:-62 2383:-57 2874:-74 2879:-55 3249:-999
220473 0:-999 1763:-66 1807:-60 1946:-56 1948:-59 2157:-67 2191:-70 2542:-67 2746:-67 3044:-61 3078:-67 3249:-999
220474 0:-999 324:-78 1273:-77 1534:-79 1807:-66 1946:-54 1966:-78 2157:-78 2542:-78 2746:-78 3044:-57 3249:-999
34571 0:-999 66:-64 567:-61 856:-64 1145:-70 1360:-65 1553:-65 2061:-64 2459:-65 2874:-54 2879:-50 3249:-999
34691 0:-999 692:-78 858:-38 883:-51 1106:-68 1867:-59 1948:-68 2191:-60 2374:-39 2619:-38 3055:-76 3249:-999
55103 0:-999 362:-71 742:-77 929:-92 1223:-88 1859:-85 2036:-83 2138:-81 2392:-54 2449:-92 2713:-52 3249:-999
55151 0:-999 64:-70 276:-69 384:-77 531:-64 692:-36 858:-65 1273:-82 1946:-77 2374:-57 2619:-65 3249:-999
55152 0:-999 362:-61 742:-81 1070:-84 1859:-87 2392:-78 2523:-58 2623:-88 2713:-30 3249:-999
55153 0:-999 384:-81 950:-86 1273:-79 1412:-53 1890:-71 1915:-66 1928:-84 1946:-93 2852:-84 2904:-84 3249:-999
55209 0:-999 52:-77 444:-80 657:-43 1219:-85 1304:-78 1521:-81 1649:-63 1812:-66 2021:-49 3049:-79 3249:-999
55295 0:-999 184:-83 349:-85 426:-65 1376:-71 1892:-73 2180:-73 2420:-86 2734:-35 2770:-81 2816:-83 3249:-999
220922 0:-999 228:-69 772:-53 800:-49 812:-53 1070:-78 1130:-44 1544:-50 2138:-49 2355:-44 2684:-68 3249:-999
55384 0:-999 247:-74 431:-81 760:-69 1239:-69 1906:-75 2239:-39 2312:-37 2930:-91 3176:-78 3249:-999
55399 0:-999 323:-46 350:-53 491:-81 630:-53 739:-61 1070:-78 1482:-44 1561:-46 2069:-67 2103:-40 3249:-999
55403 0:-999 620:-51 1366:-76 1694:-67 1886:-89 2034:-82 2332:-60 2773:-54 2837:-68 2861:-55 3025:-68 3249:-999
35028 0:-999 772:-70 1070:-72 1236:-80 1323:-79 1544:-62 1712:-89 1714:-84 2069:-64 2453:-71 2684:-70 3249:-999
120200 0:-999 131:-62 382:-52 384:-91 458:-54 1472:-56 1503:-56 1660:-47 2282:-56 2310:-59 2596:-67 3249:-999
120201 0:-999 187:-92 384:-79 692:-50 950:-87 1273:-83 1867:-84 1928:-87 1946:-83 2852:-86 2904:-87 3249:-999
120249 0:-999 228:-82 362:-87 742:-85 1859:-89 2036:-87 2392:-56 2523:-70 2684:-80 2713:-66 3249:-999
120284 0:-999 893:-72 1027:-56 1073:-40 1232:-65 1952:-60 2286:-78 2313:-56 2606:-44 2814:-66 3121:-48 3249:-999
120285 0:-999 384:-84 943:-62 950:-88 1273:-87 1754:-68 1928:-89 1946:-61 1966:-81 2157:-81 2746:-81 3249:-999
35274 0:-999 742:-67 996:-85 1223:-83 1303:-88 2324:-83 2392:-40 2523:-73 2684:-88 2713:-51 2720:-87 3249:-999
120381 0:-999 53:-68 877:-57 1017:-77 1536:-39 2021:-91 2091:-76 2512:-68 3067:-77 3249:-999
35317 0:-999 953:-77 1037:-88 1355:-73 1706:-75 2335:-77 2395:-44 2757:-66 2930:-67 3215:-67 3249:-999
120417 0:-999 175:-48 877:-72 1033:-47 1536:-80 1806:-77 1812:-72 2021:-77 2225:-79 3085:-82 3249:-999
120444 0:-999 187:-88 195:-60 361:-85 384:-76 950:-87 1273:-78 1525:-64 1928:-86 2852:-78 2904:-78 3249:-999
120677 0:-999 175:-56 877:-81 1033:-49 1072:-76 1536:-82 1806:-76 1812:-75 2056:-69 2225:-81 3249:-999
221571 0:-999 362:-72 742:-74 1366:-91 2138:-89 2324:-95 2392:-47 2523:-83 2623:-79 2713:-58 2720:-93 3249:-999
120740 0:-999 901:-69 1429:-69 1651:-74 1706:-66 1930:-72 2014:-73 2167:-69 2197:-87 2334:-74 2930:-70 3249:-999
120741 0:-999 901:-70 937:-77 1354:-83 1355:-69 1706:-71 1903:-76 2196:-79 2755:-81 2866:-57 2930:-71 3249:-999
120742 0:-999 827:-56 1043:-59 1429:-83 1651:-76 1930:-82 2014:-51 2085:-76 2334:-51 2335:-77 2930:-65 3249:-999
56048 0:-999 583:-63 672:-65 1754:-55 1763:-61 1946:-54 1948:-58 2200:-62 3044:-39 3078:-67 3249:-999
35673 0:-999 583:-58 1754:-58 1763:-53 1807:-60 1946:-57 1948:-60 2816:-59 2825:-68 3044:-42 3078:-61 3249:-999
35674 0:-999 48:-51 611:-74 990:-71 992:-70 1742:-70 2255:-64 2425:-71 2594:-69 2863:-69 3249:-999
221668 0:-999 195:-59 583:-57 799:-62 943:-65 1763:-64 1807:-57 1946:-61 1948:-64 2816:-59 3044:-44 3249:-999
35712 0:-999 123:-45 225:-79 699:-60 1160:-77 1608:-60 2052:-60 2062:-72 2521:-70 2617:-67 2860:-67 3249:-999
120813 0:-999 901:-82 977:-60 1355:-73 1450:-73 1539:-71 1651:-79 1740:-71 2014:-83 2167:-83 2334:-83 3249:-999
120814 0:-999 661:-70 901:-72 977:-69 1539:-80 1651:-59 2014:-75 2085:-60 2167:-71 2334:-75 3249:-999
120869 0:-999 98:-85 175:-52 204:-82 1033:-51 1072:-84 1812:-81 2021:-73 2056:-70 2225:-86 2700:-85 3249:-999
35793 0:-999 362:-74 742:-72 2392:-49 2523:-80 2713:-58 3249:-999
35794 0:-999 362:-68 742:-73 996:-91 2036:-89 2324:-82 2392:-42 2523:-80 2684:-88 2713:-63 3249:-999
221800 0:-999 362:-68 742:-73 800:-84 996:-85 1223:-88 2036:-76 2392:-39 2523:-71 2623:-80 2713:-47 3249:-999
56273 0:-999 633:-84 772:-55 800:-56 1130:-44 1901:-84 2138:-55 2355:-47 2453:-55 3249:-999
56356 0:-999 175:-47 1033:-52 1067:-91 1072:-76 1514:-82 1806:-74 1812:-75 2021:-80 2056:-66 2188:-59 3249:-999
121083 0:-999 187:-86 384:-81 692:-57 1273:-82 1754:-66 1928:-83 1946:-67 2816:-60 2825:-75 2904:-88 3249:-999
36070 0:-999 742:-69 996:-84 1223:-89 2036:-79 2138:-84 2392:-55 2523:-73 2713:-53 3249:-999
121174 0:-999 184:-73 309:-79 782:-64 1000:-63 1205:-61 1971:-53 1989:-33 2067:-65 2710:-73 2816:-69 3249:-999
222052 0:-999 384:-70 950:-88 1273:-74 1492:-90 1928:-88 2060:-90 2806:-90 2852:-83 2891:-72 2904:-83 3249:-999
222053 0:-999 620:-44 910:-76 1694:-73 2034:-84 2269:-84 2366:-92 2837:-62 2999:-86 3025:-72 3170:-88 3249:-999
222119 0:-999 384:-87 950:-88 1754:-56 1928:-89 1946:-70 1948:-54 2852:-88 2904:-88 3044:-48 3140:-69 3249:-999
36243 0:-999 228:-59 633:-84 772:-57 800:-76 812:-59 1130:-45 1544:-58 2138:-75 2355:-46 2453:-57 3249:-999
36313 0:-999 664:-46 801:-73 1128:-77 1454:-64 1595:-49 2083:-53 2096:-66 2644:-55 2991:-34 2996:-50 3249:-999
56769 0:-999 80:-54 208:-69 567:-80 856:-74 939:-68 1360:-35 1553:-75 2137:-69 2459:-41 2662:-71 3249:-999
36366 0:-999 64:-63 384:-71 531:-63 692:-41 1273:-78 1946:-79 2200:-66 2316:-61 2374:-59 2816:-59 3249:-999
36367 0:-999 80:-52 696:-54 939:-55 1360:-37 1553:-61 2137:-61 2459:-43 2662:-67 3137:-54 3249:-999
121491 0:-999 384:-82 1754:-63 1763:-56 1807:-63 1946:-53 1948:-67 1966:-84 2157:-84 2542:-84 3044:-47 3249:-999
36393 0:-999 362:-89 633:-86 742:-93 772:-56 800:-65 812:-44 1130:-59 2138:-65 2355:-60 2453:-59 3249:-999
