33677 0:-999 134:-72 307:-58 414:-53 524:-64 967:-66 1160:-69 1346:-70 1883:-33 2097:-73 2325:-999
54133 0:-999 181:-50 837:-74 1132:-85 1155:-86 1639:-86 2068:-87 2325:-999
219753 0:-999 18:-89 377:-59 793:-78 1026:-85 1445:-58 1462:-40 1533:-70 1781:-80 1784:-41 2126:-80 2325:-999
33790 0:-999 134:-39 270:-63 587:-85 728:-67 1015:-84 1065:-69 1461:-87 1471:-88 2074:-88 2119:-61 2325:-999
119027 0:-999 397:-67 793:-69 891:-68 1445:-28 1533:-35 1784:-65 2025:-39 2126:-60 2169:-70 2325:-999
119028 0:-999 181:-33 206:-60 482:-88 504:-79 679:-74 885:-80 1639:-70 1922:-77 1930:-80 2162:-82 2325:-999
219992 0:-999 24:-81 418:-72 569:-67 710:-82 784:-75 803:-76 1103:-83 1441:-79 2166:-27 2173:-73 2325:-999
34034 0:-999 406:-59 415:-79 580:-41 729:-59 765:-49 769:-48 839:-84 1593:-42 1685:-30 1862:-41 2325:-999
220009 0:-999 98:-81 134:-74 270:-90 572:-49 773:-79 967:-46 1158:-54 1883:-72 2097:-75 2246:-76 2325:-999
34055 0:-999 377:-68 793:-67 1445:-67 1462:-56 1533:-68 1784:-41 1806:-75 2126:-77 2160:-75 2169:-76 2325:-999
119174 0:-999 134:-73 307:-68 414:-52 967:-67 1160:-79 1346:-79 1717:-73 1883:-39 2097:-75 2168:-79 2325:-999
119388 0:-999 685:-53 807:-82 1035:-50 1423:-96 1510:-50 1713:-78 1808:-77 1924:-86 1969:-60 2113:-90 2325:-999
54770 0:-999 98:-68 270:-59 524:-42 572:-61 728:-65 1065:-69 1105:-59 1850:-66 2311:-45 2312:-64 2325:-999
54864 0:-999 189:-83 205:-73 378:-53 640:-60 1160:-60 1346:-65 1387:-73 1758:-74 1787:-58 2232:-73 2325:-999
34488 0:-999 191:-59 232:-37 595:-67 716:-51 1006:-68 1069:-55 1076:-52 1177:-54 2208:-55 2322:-53 2325:-999
119602 0:-999 316:-76 377:-69 397:-57 861:-69 1025:-74 1445:-68 1462:-40 1781:-71 1784:-43 2025:-60 2325:-999
34598 0:-999 190:-48 902:-63 1085:-47 1144:-61 1602:-64 1689:-91 1895:-61 2058:-63 2090:-48 2234:-88 2325:-999
220611 0:-999 273:-71 294:-67 324:-70 358:-58 592:-76 603:-66 1250:-46 1319:-73 1788:-64 1822:-59 2325:-999
220612 0:-999 418:-84 1031:-57 1482:-72 1509:-55 1533:-85 1795:-65 1946:-59 2051:-58 2057:-71 2126:-78 2325:-999
119764 0:-999 134:-48 728:-54 773:-63 1065:-52 1101:-64 1105:-61 1411:-47 1850:-62 1986:-66 2119:-47 2325:-999
55117 0:-999 98:-56 134:-40 773:-68 967:-62 1015:-83 1158:-69 1411:-66 1986:-55 2246:-49 2311:-54 2325:-999
55241 0:-999 18:-86 377:-43 592:-77 656:-77 876:-80 891:-76 1445:-43 1462:-75 1533:-48 2126:-55 2325:-999
220850 0:-999 181:-44 206:-62 885:-84 2325:-999
34907 0:-999 45:-64 134:-65 252:-85 822:-68 967:-79 1101:-66 1487:-66 1629:-68 1717:-62 2201:-64 2325:-999
55311 0:-999 483:-64 823:-65 902:-51 1602:-51 1672:-68 1675:-68 2058:-58 2150:-63 2278:-61 2303:-66 2325:-999
34991 0:-999 114:-44 236:-74 245:-65 332:-80 457:-57 850:-44 1183:-71 1440:-70 2181:-68 2323:-56 2325:-999
221010 0:-999 109:-51 210:-36 761:-45 898:-56 909:-40 1175:-37 1226:-50 1641:-36 1843:-81 2075:-50 2325:-999
221056 0:-999 42:-70 288:-71 359:-78 517:-26 730:-68 792:-77 809:-50 1764:-78 2008:-56 2150:-58 2325:-999
